gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,MAE_cv0,MAE_cv1,MAE_cv2,MAE_cv3,MAE_cv4,MAE,MAE_std
0.0,0.01,2,1,100,0.0,0.0,0.4,0.604936869841931,0.5716476120855294,0.5828416837617464,0.6076655812506583,0.6023410364356695,0.5938865566751069,0.015811459779941892
0.0,0.01,2,1,100,0.0,0.0,0.6,0.6130783898559271,0.5726696537952797,0.5833945698064916,0.6074835115114848,0.598481301575081,0.5950214853088529,0.0167937024178969
0.0,0.01,2,1,100,0.0,0.0,0.8,0.6099711134835785,0.5728043768620958,0.5848140969052034,0.6106815136666391,0.5966010183596143,0.5949744238554262,0.016347801130760637
0.0,0.01,2,1,100,0.0,0.0,1.0,0.6067047589638653,0.5780157974056169,0.5857939002298841,0.6153519290961471,0.6039962805804084,0.5979725332551844,0.015501379822427995
0.0,0.01,2,1,100,0.0,0.1,0.4,0.6055693192182803,0.5724501868977265,0.5844727907648275,0.6095553352935641,0.6018787954330443,0.5947852855214886,0.015731908772839726
0.0,0.01,2,1,100,0.0,0.1,0.6,0.6091573581078473,0.5723483666457383,0.5841553802639831,0.6084154867396635,0.5984242922801597,0.5945001768074784,0.015981121717448966
0.0,0.01,2,1,100,0.0,0.1,0.8,0.6098718784818462,0.5722195900973152,0.5846749798980414,0.6111595850851022,0.5969315424302044,0.594971515198502,0.016670219512515013
0.0,0.01,2,1,100,0.0,0.1,1.0,0.6082575301301245,0.577324152213452,0.585803435383591,0.6163124906708212,0.6036368983717525,0.5982669013539482,0.016188186670098616
0.0,0.01,2,1,100,0.0,0.5,0.4,0.601275786783181,0.5753264883733263,0.5853586002405953,0.6097661774747511,0.6044099998305825,0.5952274105404871,0.014367660431079681
0.0,0.01,2,1,100,0.0,0.5,0.6,0.6085483351202572,0.5749877743833205,0.5842611258749869,0.6101198295537164,0.5999039422577502,0.5955642014380063,0.015414573098403462
0.0,0.01,2,1,100,0.0,0.5,0.8,0.6109093839028302,0.573881743442311,0.5853667867062139,0.6152402358915292,0.5989279002451429,0.5968652100376055,0.017317538518985633
0.0,0.01,2,1,100,0.0,0.5,1.0,0.6111677266775393,0.5790405608177185,0.5857734851949356,0.6190436152308595,0.6051162109038408,0.6000283197649787,0.01699441686633333
0.0,0.01,2,1,100,0.0,1.0,0.4,0.6028569692686492,0.5774717602524102,0.5867457597377254,0.6114108586928424,0.6094360466695299,0.5975842789242314,0.0148444170964625
0.0,0.01,2,1,100,0.0,1.0,0.6,0.6113892880196665,0.5767524933459712,0.5848582859245002,0.6103017139229119,0.5996653588070588,0.5965934280040217,0.015391942559557205
0.0,0.01,2,1,100,0.0,1.0,0.8,0.6113978055336896,0.5766978937149048,0.5853613385873683,0.6185404152103499,0.6031980974010392,0.5990391100894703,0.01758228378451781
0.0,0.01,2,1,100,0.0,1.0,1.0,0.6135102736080393,0.5825578675812366,0.5875688435928493,0.6207363878437117,0.607323054186503,0.602339285362468,0.016564666833993453
0.0,0.01,2,1,100,0.1,0.0,0.4,0.6056179265022278,0.5728821554520551,0.58334336754855,0.6092810333457648,0.6027458102992936,0.5947740586295782,0.015823295594337424
0.0,0.01,2,1,100,0.1,0.0,0.6,0.6116218142453362,0.5737831585753197,0.585014139957054,0.6083079717879202,0.59711153346417,0.59516772360596,0.01587117276922382
0.0,0.01,2,1,100,0.1,0.0,0.8,0.610253463490804,0.573094561771318,0.5850442972949907,0.6119325144169377,0.5970001668705659,0.5954650007689233,0.01659263369857871
0.0,0.01,2,1,100,0.1,0.0,1.0,0.6078179389560924,0.5773739842209161,0.5860182685216268,0.6158929539960973,0.6033059228579203,0.5980818137105306,0.015919041225439082
