C,epsilon,gamma,MAE_cv0,MAE_cv1,MAE_cv2,MAE_cv3,MAE_cv4,MAE,MAE_std
0.03125,0.015625,3.0517578125e-05,0.7588273948911521,0.7263482811670555,0.7080648675796434,0.7594300368991884,0.7559656231889536,0.7417272407451986,0.023335614213809378
0.03125,0.015625,6.103515625e-05,0.7582580206918182,0.7257943416002663,0.7075931183081959,0.7587552725268796,0.7553241958756347,0.7411449898005589,0.023266919917099015
0.03125,0.015625,0.0001220703125,0.7571393483783274,0.7247063556762814,0.7066663693946504,0.7574306767748904,0.754063849039272,0.7400013198526845,0.023132250662160302
0.03125,0.015625,0.000244140625,0.7549803875349425,0.7226080000363347,0.7048720939795068,0.7548970401227779,0.751681206037107,0.7378077455421337,0.02288670976614279
0.03125,0.015625,0.00048828125,0.7509144342101408,0.7187539501250398,0.7015486953399994,0.7500889780528767,0.7473611881100035,0.7337334491676121,0.022408974827849346
0.03125,0.015625,0.0009765625,0.744156572410083,0.7124751900312215,0.6958860200567374,0.7423224313482036,0.7400803504311129,0.7269841128554717,0.021675268379051385
0.03125,0.015625,0.001953125,0.7347108561962051,0.7044302110416776,0.6878711068860864,0.7309493013459615,0.7298722317761435,0.7175667414492148,0.020486811704662176
0.03125,0.015625,0.00390625,0.7253429887567207,0.6960908547722497,0.6795786682980401,0.7207229070405379,0.7191181073906197,0.7081707052516336,0.019594119455088158
0.03125,0.015625,0.0078125,0.7232029102807596,0.6929638133015642,0.6772819984308355,0.7192087860314721,0.7163035005217094,0.7057922017132682,0.019818073510542773
0.03125,0.015625,0.015625,0.7345939529492386,0.701929620189716,0.687030548435381,0.7323605412659917,0.7285845399307175,0.7168998405542091,0.021242229102121046
0.03125,0.015625,0.03125,0.7501557168539942,0.7169416285985636,0.7007019524581215,0.7499821120300685,0.7463309346996658,0.7328224689280827,0.02270078275313103
0.03125,0.015625,0.0625,0.7576732639166992,0.724361864729085,0.7073564995411873,0.7576635901542308,0.7545388789323064,0.7403188194547017,0.02315905245766039
0.03125,0.015625,0.125,0.758972117494905,0.7259390821323222,0.7086113462855441,0.7591331513812695,0.7562032598938975,0.7417717914375876,0.02321543195809795
0.03125,0.015625,0.25,0.759073466458168,0.7261086309609228,0.7086956795053447,0.7592763208816111,0.7563542859467416,0.7419016767505576,0.023225444459597292
0.03125,0.015625,0.5,0.759079501730997,0.7261219375360124,0.7086968131516327,0.7592798975605259,0.7563616401870741,0.7419079580332484,0.023225706185139573
0.03125,0.015625,1.0,0.7590795914776906,0.7261221812710384,0.7086968137254896,0.7592799019607722,0.7563617320005578,0.7419080440871098,0.02322569626001266
0.03125,0.03125,3.0517578125e-05,0.7582495806194037,0.725615999798003,0.7081757605736602,0.7584630103386913,0.7556533092307611,0.7412315321121039,0.02308167213172017
0.03125,0.03125,6.103515625e-05,0.7577217795827269,0.7251056698550944,0.7076955544019501,0.7577955186791043,0.7550314726661217,0.7406699990369995,0.023020973640706315
0.03125,0.03125,0.0001220703125,0.7566714717686809,0.7241035469750903,0.7067549824138168,0.756485565883292,0.7538307944325581,0.7395692722946876,0.022901984135441922
0.03125,0.03125,0.000244140625,0.7544660186585495,0.7221804688107158,0.7049556501996419,0.7540038360893164,0.7515571019388868,0.737432615139422,0.02264743112306487
0.03125,0.03125,0.00048828125,0.7502225174625743,0.7187093603574266,0.7015545550915391,0.7495019995540706,0.747217670529577,0.7334412205990375,0.022153658056394944
0.03125,0.03125,0.0009765625,0.7442577568114807,0.7127335690877485,0.695720954472771,0.7417589999464128,0.7399793967718461,0.7268901354180518,0.021598451212298194
0.03125,0.03125,0.001953125,0.7351871649018624,0.7050230256862663,0.6878233113507807,0.7313011188330425,0.7297271521795894,0.7178123545903082,0.02054691487784792
0.03125,0.03125,0.00390625,0.7253668319336917,0.6967599322286717,0.6794495930702317,0.7210934327518516,0.7188341892240103,0.7083007958416914,0.019566789193998686
0.03125,0.03125,0.0078125,0.7227390505503526,0.6935398989484794,0.6773263889325187,0.7195176665275889,0.7159795185700029,0.7058205047057885,0.019620033827872564
0.03125,0.03125,0.015625,0.7338604332893736,0.7026870981502557,0.6870107321941995,0.7316519871512781,0.7288095412382338,0.7168039584046682,0.020871292388093245
0.03125,0.03125,0.03125,0.7504898575449216,0.7172627154163571,0.700720566477631,0.7493666322966227,0.7465526182278126,0.7328784779926691,0.022621811085231522
0.03125,0.03125,0.0625,0.7579988847195906,0.7245630089502957,0.7073857261266887,0.7573456706357733,0.7544242941324386,0.7403435169129574,0.023099209595663184
0.03125,0.03125,0.125,0.7592606293525108,0.726141579911989,0.7086703785205393,0.7588801390699321,0.7561018747121372,0.7418109203134217,0.023151164609336604
0.03125,0.03125,0.25,0.7593630650617242,0.7263032797267515,0.7087608303023748,0.7590232836528034,0.7562566381358005,0.7419414193758909,0.023161024462840386
0.03125,0.03125,0.5,0.7593691503896918,0.7263166677783542,0.7087620092207579,0.759026833854664,0.7562640625575361,0.7419477447602008,0.023161288956923487
0.03125,0.03125,1.0,0.7593692401705012,0.7263169116631951,0.708762009803921,0.759026838235282,0.7562641543861786,0.7419478308518157,0.023161279480516127
0.03125,0.0625,3.0517578125e-05,0.7588158375953715,0.7256020603431534,0.7081505952953614,0.7577956313495712,0.7561067950019768,0.7412941839170868,0.023148756830155905
0.03125,0.0625,6.103515625e-05,0.7582567609450109,0.7250811241662851,0.7076667773294014,0.7570922304089255,0.7555400348809299,0.7407273855461105,0.02308847678172193
0.03125,0.0625,0.0001220703125,0.7572357213268414,0.7240870164410227,0.70671624979746,0.7557303585482629,0.7544253192769725,0.7396389330781119,0.02298359922117832
0.03125,0.0625,0.000244140625,0.7553208842426855,0.7222482155780003,0.7049125501972058,0.7531108043660041,0.7522460889444074,0.7375677086656606,0.022766555282304892
0.03125,0.0625,0.00048828125,0.7521510497682156,0.7189717816322652,0.7016238519043041,0.748653208105358,0.7480752420282775,0.733895026687684,0.02245159665515472
0.03125,0.0625,0.0009765625,0.7457099248897436,0.713694343157784,0.6962571146978092,0.7412645778428575,0.7406957656587719,0.7275243452493932,0.02157489442846969
0.03125,0.0625,0.001953125,0.7352623842271722,0.7053324243873513,0.6882280759369371,0.7305104420337831,0.7299115343140652,0.7178489721798618,0.020267625700294774
