alpha,MAE_cv0,MAE_cv1,MAE_cv2,MAE_cv3,MAE_cv4,MAE,MAE_std
0.01,0.6681676019354666,0.7203030155069607,0.7372786678943353,0.8921058910938278,0.777712175439738,0.7591134703740656,0.08409378215925578
0.012589254117941675,0.6675733133504931,0.7197199220143967,0.7369128983262951,0.8901905451201731,0.7770596378171654,0.7582912633257047,0.08355268057826556
0.01584893192461114,0.6668382770552137,0.718999516777407,0.7364568120631614,0.8878308070730183,0.7762549840468406,0.7572760794031282,0.08288888491674941
0.01995262314968881,0.6659329197352652,0.7181133352083674,0.7358893896329709,0.8849519160652701,0.7752675186128498,0.7560310158509447,0.0820849317570955
0.025118864315095822,0.6648324346427936,0.7170289078181635,0.7351853727499846,0.8814447625368282,0.7740626795261831,0.7545108314547906,0.08110961785042727
0.031622776601683826,0.6634989514309767,0.7157100660636847,0.7343147192896893,0.8772597283739404,0.7726026222413965,0.7526772174799375,0.07995989390732174
0.039810717055349776,0.6619319556465374,0.7141869554916336,0.7332421240298066,0.8722544285835504,0.7708473164369318,0.750492556037692,0.07857945637043873
0.050118723362727303,0.6601017369888507,0.7124040378132166,0.7319266668589626,0.8663421359818914,0.7687561866649798,0.7479061528615801,0.07695317667231788
0.06309573444801943,0.6579259596864702,0.7102849842661791,0.7303216556167644,0.8593913366569736,0.7663129810996546,0.7448473834652083,0.07506993275314087
0.07943282347242829,0.6554885490734876,0.7078575617862378,0.7283747262227441,0.85131871289305,0.7634656460701562,0.7413010392091351,0.07287746142148917
0.1000000000000002,0.6526860727960329,0.7050412617413637,0.7261045576295584,0.8420667387337608,0.7601926488321225,0.7372182559465676,0.07040168731251217
0.125892541179417,0.6495330341631095,0.701849397697843,0.723545411805421,0.8316109904815565,0.7566708637340758,0.7326419395764011,0.06765774132549235
0.15848931924611173,0.6461046598339801,0.6982768671687466,0.7206435967056689,0.8199944491361842,0.7526739840008094,0.7275387113690778,0.06464353845895657
0.1995262314968885,0.6423557313094558,0.6942221337640687,0.7173480283257443,0.8074143583228716,0.748208490500361,0.7219097484445003,0.06147950285182459
0.25118864315095873,0.6381396111781454,0.6896548340454696,0.7136746392953764,0.7939153112826514,0.7432401353513591,0.7157249062306004,0.05825409329478862
0.3162277660168389,0.6337146838123628,0.6845411925282523,0.7094247443097291,0.7796281887576074,0.7379565856440033,0.709053079010391,0.05498432348536529
0.39810717055349853,0.6292702812801705,0.6788412996664654,0.704580277906029,0.7647140925189512,0.7322301675934182,0.7019272237930069,0.051670806969691584
0.501187233627274,0.6249098166005365,0.6726858038434589,0.6991056368204671,0.7493721168571255,0.7260565078657708,0.6944259763974717,0.048338906870255396
0.6309573444801956,0.6203877646108985,0.6659010292872121,0.6932559130826865,0.7335529995418675,0.7193242152975461,0.6864843843640422,0.04508935650654509
0.7943282347242846,0.615483778306948,0.6583432248396306,0.686690676067837,0.7175946389641716,0.7118381027700688,0.6779900841897312,0.04208012231790855
1.000000000000004,0.6102391442941296,0.6502421126776301,0.6792922468458977,0.7018938226141161,0.703548017590002,0.6690430688043552,0.039326157504198836
1.2589254117941726,0.6046907460575432,0.6414985502057284,0.6710556247639262,0.6881511384276443,0.6944896541969143,0.6599771427303514,0.03710008182000109
1.5848931924611207,0.59895744487983,0.6322840146202726,0.6620193517644265,0.674636070117087,0.6845070815031152,0.6504807925769462,0.03485750351493118
1.995262314968889,0.5928064544027745,0.6225734175939254,0.6523689545776228,0.6615368578767381,0.6732616931151011,0.6405094755132323,0.03260669489280336
2.5118864315095926,0.5862838360374609,0.6120198027787314,0.6426386327060459,0.6487481798690802,0.6614076300265571,0.6302196162835751,0.03054430321730252
3.1622776601683955,0.579120737177778,0.6005621985094935,0.6329360389230159,0.6369525050155956,0.64862928209246,0.6196401523436685,0.028821255725787802
3.9810717055349936,0.5714428451006907,0.5884923291990108,0.6229754798538945,0.6258375155940666,0.6357260659834765,0.6088948471462279,0.02749612578018657
5.01187233627275,0.5641831364506822,0.5767152203368879,0.6129326467833929,0.6151715457500667,0.622571123612269,0.5983147345866597,0.026065843815680605
6.309573444801969,0.5577172263481683,0.5654766756142141,0.6027307264105668,0.6050163082547988,0.6098155818447974,0.5881513036945091,0.02452906804093822
7.943282347242862,0.5517673442602039,0.5557922568931909,0.5924608715656223,0.595488052609421,0.59693810219098,0.5784893255038835,0.0226591007595195
10.000000000000062,0.5461902697980219,0.5469650978309032,0.5824761654254773,0.5864728106777689,0.5849502053162654,0.5694109098096873,0.020894327389971303
12.589254117941753,0.5402559692524054,0.5385083822205694,0.5725385202705696,0.5780850731673578,0.5738994372063859,0.5606574764234576,0.019538639444703677
15.84893192461124,0.5339607075459974,0.5305057974494057,0.5633251880533368,0.5705270790852232,0.5634751152238837,0.5523587774715694,0.018641110632359334
